"Month","Total","Hol","VFR","Bus","Oth","NSW","VIC","QLD","SA","WA","TAS","NT","Hol_NSW","VFR_NSW","Bus_NSW","Oth_NSW","Hol_VIC","VFR_VIC","Bus_VIC","Oth_VIC","Hol_QLD","VFR_QLD","Bus_QLD","Oth_QLD","Hol_SA","VFR_SA","Bus_SA","Oth_SA","Hol_WA","VFR_WA","Bus_WA","Oth_WA","Hol_TAS","VFR_TAS","Bus_TAS","Oth_TAS","Hol_NT","VFR_NT","Bus_NT","Oth_NT"
"1998-01",45151.07128,28286.02927,13573.25655,2550.526772,741.2586819,17515.50238,10393.61802,8633.359046,3504.313346,3121.619189,1850.735774,131.9235291,11624.91024,4845.13067,719.5414477,325.9200204,6789.291555,3159.659306,356.0937085,88.5734463,5243.315684,2641.136082,603.2886485,145.6186311,1845.008406,1201.446071,322.3863844,135.4724852,1761.177674,936.3788443,387.9160852,36.1465855,962.7747909,772.9705048,108.5390894,6.4513884,59.5509207,16.5350749,52.7614085,3.076125
"1998-02",17294.69955,7618.898789,5558.051855,3430.825515,686.9233917,5880.367918,3855.647839,3580.051065,1321.257992,1826.610677,757.0797436,73.6843159,2543.923863,2211.469197,955.4502825,169.5245766,1457.159645,1388.991872,941.8563769,67.6399455,1738.958692,893.5569228,601.4135412,346.1219089,636.982185,440.3196788,209.6855078,34.2706206,711.2497785,432.0114828,620.9450418,62.4043734,521.5905516,180.4069774,48.5385005,6.5437141,9.0340746,11.2957241,52.9362646,0.4182526
"1998-03",20725.11418,9519.992935,6835.348553,3679.636745,690.135951,7086.444392,4353.379282,4717.676663,1521.950007,1868.38153,900.7966217,276.4856883,3296.768613,2338.62331,1211.822236,239.2302329,2045.555909,1416.294935,717.6713038,173.8571334,2056.125618,1714.835447,865.6765678,81.039031,605.9593761,548.2163313,312.0692332,55.705066,975.0769534,412.3468966,397.2063917,83.7512886,420.853351,395.6731526,65.8219914,18.4481267,119.6531149,9.35848,109.369021,38.1050724
"1998-04",25705.30549,13748.26837,8073.115168,3118.555248,765.3667065,10606.5129,5238.765787,4940.278404,1857.933964,1974.500131,837.2778137,250.0364879,5694.114144,3178.763295,1496.389243,237.246221,2862.554298,1853.718465,459.4309083,63.0621157,2583.07578,1556.026927,468.0628753,333.1128214,976.0161917,636.0404964,203.013911,42.8633646,1033.651382,504.662274,359.6158305,76.5706443,523.7698703,204.2371367,100.3518472,8.9189595,75.0867004,139.6665745,31.690633,3.59258
"1998-05",20360.14106,8143.838428,5988.62832,5408.050575,819.6237318,7430.373559,3820.666426,4219.283647,1378.75354,2619.168183,551.3770585,340.5186428,3036.564776,2195.58998,1909.031041,289.187762,1589.380752,1193.871412,922.6082525,114.8060091,1856.858432,1493.931559,711.1970267,157.2966284,503.1527833,424.3631059,257.0176373,194.2200133,656.2297923,496.1647917,1416.122808,50.6507912,335.3007341,70.9411218,143.7881712,1.3470314,166.3511586,113.766349,48.2856388,12.1154964
"1998-06",18237.55402,7412.900403,6741.726717,3265.870243,817.056657,5983.938521,3335.519278,4872.259012,1203.8096,1443.942091,604.0398202,794.0456993,2278.899504,2441.446526,876.1891858,387.4033048,1596.279709,1123.784656,443.9625723,171.4923409,1878.315212,1853.889804,1042.849115,97.2048806,464.9185511,419.7394311,287.6188513,31.5327664,728.3261601,366.7491008,267.5708127,81.296017,209.0805614,248.2488791,119.8485072,26.8618725,257.0807061,287.8683194,227.831199,21.2654748
"1998-07",23693.97982,11503.59733,7424.716722,3867.146229,898.5195374,7457.471249,3935.252466,6199.867645,1732.379245,2878.085759,423.6589189,1067.26454,3034.502976,2678.785948,1329.742267,414.4400574,1905.927595,1170.729532,746.1368928,112.4584469,3276.364653,1919.56098,798.7666122,205.1753999,726.4237105,686.364613,251.6736016,67.9173201,1592.110357,666.6079769,539.4100833,79.957342,122.6021413,201.4423174,81.0434891,18.5709711,845.6659011,101.2253556,120.3732831,0
"1998-08",23402.86948,10497.90317,6740.445762,5516.809212,647.7113363,6940.452118,3409.275109,7078.667212,1194.995028,2374.445566,315.832445,2089.201998,2882.853245,2251.445465,1504.751389,301.4020189,1442.98852,1310.786784,546.7100407,108.7897649,3825.297336,1753.910506,1400.851935,98.6074346,520.5606097,437.7775129,225.5086018,11.148304,1149.815047,564.8571484,573.6021043,86.1712656,142.0043152,85.7543086,82.9464167,5.1274045,534.3840932,335.9140368,1182.438725,36.4651438
"1998-09",23867.25751,11987.98413,6413.442494,4106.17349,1359.657397,6542.638049,3780.823586,8251.283968,1410.232295,2862.692984,371.1950016,648.3916296,2551.488276,2346.88216,1240.343587,403.9240249,1725.42419,1328.258547,649.4816388,77.6592105,4745.256102,1814.781696,1178.408484,512.8376855,667.1113078,329.2268844,273.3647082,140.5293947,1754.093258,454.9695579,447.0181186,206.6120495,178.8785085,102.4487286,83.5159454,6.3518191,365.7324891,36.8749201,234.0410078,11.7432126
"1998-10",26658.16133,14850.80943,7255.509345,3849.136346,702.7062165,8923.898212,4288.285286,6503.374351,1748.694233,3428.84246,633.2210093,1131.845783,4158.292504,3232.486076,1169.198094,363.9215377,2088.443956,1506.603179,604.0746524,89.1634976,4134.841135,1085.772811,1142.232121,140.5282854,1139.166488,300.778158,276.9933984,31.756189,2275.606541,667.5806723,443.27232,42.3829264,459.1604094,104.0901463,57.196061,12.7743926,595.2983929,358.1983029,156.1696995,22.1793878
